,id,username,year,overarching_category,num_solved
394,5409,Superior,2020,Forensics,4
395,5409,Superior,2020,Misc,6
396,5409,Superior,2020,Rev,1
397,5409,Superior,2020,Web,10
398,5409,Superior,2022,Crypt,10
399,5409,Superior,2022,Forensics,15
400,5409,Superior,2022,Misc,5
401,5409,Superior,2022,Pwn,13
402,5409,Superior,2022,Rev,3
403,5409,Superior,2022,Special,4
404,5409,Superior,2022,Web,24
405,5409,Superior,2023,Crypt,7
406,5409,Superior,2023,Forensics,5
407,5409,Superior,2023,Misc,1
408,5409,Superior,2023,Pwn,19
409,5409,Superior,2023,Rev,24
410,5409,Superior,2023,Special,1
411,5409,Superior,2023,Web,15
412,5409,Superior,2024,Crypt,5
413,5409,Superior,2024,Forensics,3
414,5409,Superior,2024,Pwn,3
415,5409,Superior,2024,Rev,4
416,5409,Superior,2024,Special,20
417,5409,Superior,2024,Web,2
418,5409,Superior,2025,Crypt,4
419,5409,Superior,2025,Forensics,6
420,5409,Superior,2025,Misc,3
421,5409,Superior,2025,Pwn,1
422,5409,Superior,2025,Rev,11
423,5409,Superior,2025,Special,11
424,5409,Superior,2025,Web,2
425,5440,fLink,2015,Crypt,1
426,5440,fLink,2015,Forensics,4
427,5440,fLink,2015,Misc,3
428,5440,fLink,2015,Pwn,1
429,5440,fLink,2015,Web,32
430,5440,fLink,2016,Crypt,11
431,5440,fLink,2016,Forensics,34
432,5440,fLink,2016,Misc,23
433,5440,fLink,2016,Pwn,37
434,5440,fLink,2016,Rev,9
435,5440,fLink,2016,Web,32
436,5440,fLink,2017,Crypt,1
437,5440,fLink,2017,Forensics,3
438,5440,fLink,2017,Pwn,5
439,5440,fLink,2017,Rev,6
440,5440,fLink,2017,Web,5
441,5440,fLink,2018,Crypt,4
442,5440,fLink,2018,Forensics,3
443,5440,fLink,2018,Pwn,8
444,5440,fLink,2018,Rev,9
445,5440,fLink,2018,Web,5
446,5440,fLink,2019,Forensics,1
447,5440,fLink,2019,Pwn,4
448,5440,fLink,2019,Rev,12
449,5440,fLink,2019,Web,3
450,5732,killer2,2015,Crypt,7
451,5732,killer2,2015,Forensics,22
452,5732,killer2,2015,Misc,20
453,5732,killer2,2015,Pwn,8
454,5732,killer2,2015,Rev,13
455,5732,killer2,2015,Web,19
456,5732,killer2,2016,Crypt,8
457,5732,killer2,2016,Forensics,8
458,5732,killer2,2016,Misc,4
459,5732,killer2,2016,Pwn,27
460,5732,killer2,2016,Rev,5
461,5732,killer2,2016,Web,28
462,5732,killer2,2018,Crypt,4
463,5732,killer2,2018,Forensics,14
464,5732,killer2,2018,Misc,2
465,5732,killer2,2018,Pwn,14
466,5732,killer2,2018,Rev,22
467,5732,killer2,2018,Web,22
468,8603,nic-lovin,2016,Crypt,11
469,8603,nic-lovin,2016,Forensics,25
